kind,source,target,topic_type
publish,/target_map_projector,/rosout,rosgraph_msgs/Log
publish,/target_memory,/rosout,rosgraph_msgs/Log
publish,/target_refiner,/rosout,rosgraph_msgs/Log
publish,/traj_server,/rosout,rosgraph_msgs/Log
publish,/uav_arming_node,/rosout,rosgraph_msgs/Log
publish,/vision_pose_tf,/rosout,rosgraph_msgs/Log
publish,/visual_delivery_audit,/rosout,rosgraph_msgs/Log
publish,/waypoint_generator,/rosout,rosgraph_msgs/Log
publish,/rosout,/rosout_agg,rosgraph_msgs/Log
publish,/fast_planner_node,/sdf_map/depth_cloud,sensor_msgs/PointCloud2
publish,/fast_planner_node,/sdf_map/esdf,sensor_msgs/PointCloud2
publish,/fast_planner_node,/sdf_map/occupancy,sensor_msgs/PointCloud2
publish,/fast_planner_node,/sdf_map/occupancy_inflate,sensor_msgs/PointCloud2
publish,/fast_planner_node,/sdf_map/unknown,sensor_msgs/PointCloud2
publish,/fast_planner_node,/sdf_map/update_range,visualization_msgs/Marker
publish,/gazebo,/tf,tf2_msgs/TFMessage
publish,/laserMapping,/tf,tf2_msgs/TFMessage
publish,/mavros,/tf,tf2_msgs/TFMessage
publish,/vision_pose_tf,/tf,tf2_msgs/TFMessage
publish,/downward_camera_extrinsic,/tf_static,tf2_msgs/TFMessage
publish,/mavros,/tf_static,tf2_msgs/TFMessage
publish,/mock_raw_servo_server,/uav_mission/mock_raw_servo_calls,std_msgs/UInt8
publish,/patrol_control,/uav_vision/align_mode,std_msgs/String
publish,/navigation/planner_bridge,/uav_vision/alignment_target_context,uav_vision/AlignmentTargetContext
publish,/circle_detector,/uav_vision/circle_debug,sensor_msgs/Image
publish,/cross_detector,/uav_vision/cross_debug,sensor_msgs/Image
publish,/cross_detector,/uav_vision/debug_image,sensor_msgs/Image
publish,/landing_detector,/uav_vision/debug_image,sensor_msgs/Image
publish,/circle_detector,/uav_vision/detections,uav_vision/TargetDetectionArray
publish,/cross_detector,/uav_vision/detections,uav_vision/TargetDetectionArray
publish,/landing_detector,/uav_vision/detections,uav_vision/TargetDetectionArray
publish,/target_detector,/uav_vision/detections,uav_vision/TargetDetectionArray
publish,/target_map_projector,/uav_vision/detections_mapped,uav_vision/TargetDetectionArray
publish,/target_refiner,/uav_vision/detections_refined,uav_vision/TargetDetectionArray
publish,/detection_fusion,/uav_vision/detections_resolved,uav_vision/TargetDetectionArray
publish,/drop_aligner,/uav_vision/drop_offset,uav_vision/DropOffset
publish,/drop_aligner,/uav_vision/drop_ready,uav_vision/DropReady
publish,/target_detector,/uav_vision/perf,diagnostic_msgs/DiagnosticArray
