topic,type,publishers,subscribers
/mavros/local_position/velocity_body,geometry_msgs/TwistStamped,/mavros,
/mavros/local_position/velocity_body_cov,geometry_msgs/TwistWithCovarianceStamped,/mavros,
/mavros/local_position/velocity_local,geometry_msgs/TwistStamped,/mavros,
/mavros/log_transfer/raw/log_data,mavros_msgs/LogData,/mavros,
/mavros/log_transfer/raw/log_entry,mavros_msgs/LogEntry,/mavros,
/mavros/mag_calibration/report,mavros_msgs/MagnetometerReporter,/mavros,
/mavros/mag_calibration/status,std_msgs/UInt8,/mavros,
/mavros/manual_control/control,mavros_msgs/ManualControl,/mavros,
/mavros/manual_control/send,mavros_msgs/ManualControl,,/mavros
/mavros/mission/reached,mavros_msgs/WaypointReached,/mavros,
/mavros/mission/waypoints,mavros_msgs/WaypointList,/mavros,
/mavros/mocap/pose,geometry_msgs/PoseStamped,,/mavros
/mavros/mount_control/command,mavros_msgs/MountControl,,/mavros
/mavros/mount_control/orientation,geometry_msgs/Quaternion,/mavros,
/mavros/mount_control/status,geometry_msgs/Vector3Stamped,/mavros,
/mavros/nav_controller_output,mavros_msgs/NavControllerOutput,/mavros,
/mavros/obstacle/send,sensor_msgs/LaserScan,,/mavros
/mavros/odometry/in,nav_msgs/Odometry,/mavros,
/mavros/odometry/out,nav_msgs/Odometry,,/mavros
/mavros/onboard_computer/status,mavros_msgs/OnboardComputerStatus,,/mavros
/mavros/param/param_value,mavros_msgs/Param,/mavros,
/mavros/play_tune,mavros_msgs/PlayTuneV2,,/mavros
/mavros/px4flow/ground_distance,sensor_msgs/Range,/mavros,
/mavros/px4flow/raw/optical_flow_rad,mavros_msgs/OpticalFlowRad,/mavros,
/mavros/px4flow/raw/send,mavros_msgs/OpticalFlowRad,,/mavros
/mavros/px4flow/temperature,sensor_msgs/Temperature,/mavros,
/mavros/radio_status,mavros_msgs/RadioStatus,/mavros,
/mavros/rallypoint/waypoints,mavros_msgs/WaypointList,/mavros,
/mavros/rc/in,mavros_msgs/RCIn,/mavros,
/mavros/rc/out,mavros_msgs/RCOut,/mavros,
/mavros/rc/override,mavros_msgs/OverrideRCIn,,/mavros
/mavros/setpoint_accel/accel,geometry_msgs/Vector3Stamped,,/mavros
/mavros/setpoint_attitude/cmd_vel,geometry_msgs/TwistStamped,,/mavros
/mavros/setpoint_attitude/thrust,mavros_msgs/Thrust,,/mavros
